"structure_id";"top_level_id";"structure_name";"structure_is_part_of_update_period";"structure_scorecard_frequency";"structure_is_hidden";"structure_has_correction";"structure_level";"snapshot_date"
"fb0400247c5c413cabd2e52db085e8de";"e54776ef15824579b63591f3a53bd4b4";"Région";"False";"";"False";"False";"20";"2021-03-10T23:59:59.0000000"
"03d6ea72927e4d6185573c6b35ccc61e";"5b5e6c2a2d554d058ddf8285fa05afc7";"Top";"False";"";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"b9b7f707bb91474fb5f916e125e9d885";"47e79c5470f041329f04ad7dd5a03320";"Région";"False";"";"False";"False";"20";"2021-03-10T23:59:59.0000000"
"3a9a12feec10433588e828644ff45131";"836cc22bc3cf41ebb7ad82feeaed6dbc";"Mesure";"True";"Monthly";"False";"False";"10";"2021-03-10T23:59:59.0000000"
"83a08ece6658456a92186607cccb14d2";"10d719e0c32941dc80af9275413d2e0c";"Département";"False";"";"False";"False";"30";"2021-03-10T23:59:59.0000000"
"a1d7ebfdc6d6489cac95d5c3e18b128b";"3f282353024b4b39b9399fff5f357a70";"Mesure";"True";"Monthly";"False";"False";"10";"2021-03-10T23:59:59.0000000"
"54b62a5a314d4195a88ee48c99683d30";"ce4c67d50dbe4730b401bdcd9694a649";"Milestone";"False";"";"False";"False";"3000";"2021-03-10T23:59:59.0000000"
"7e2308a4afa941c782dd9d78bfc9bfcf";"e60ba2aa343e46d7be01b3415d124670";"Mesure";"True";"Monthly";"False";"False";"10";"2021-03-10T23:59:59.0000000"
"2592ac6ea44545dc8cc716cbf2fc4fe2";"ce4c67d50dbe4730b401bdcd9694a649";"Département";"False";"";"False";"False";"30";"2021-03-10T23:59:59.0000000"
"e5885e5f65a742ce8bcef05797f134cc";"10d719e0c32941dc80af9275413d2e0c";"Mesure";"True";"Monthly";"False";"False";"10";"2021-03-10T23:59:59.0000000"
"6eb21a80ace5439fb0e88dfca4d441cd";"b70bd5a07fd84d25bbbda49cbb77715b";"Top";"False";"";"False";"False";"0";"2021-03-10T23:59:59.0000000"
"a998dc51e9134ef89bff5967587b8525";"e60ba2aa343e46d7be01b3415d124670";"Département";"False";"Monthly";"False";"False";"30";"2021-03-10T23:59:59.0000000"
"72196906ad624730a856559b5200fa86";"e54776ef15824579b63591f3a53bd4b4";"Milestone";"False";"";"False";"False";"3000";"2021-03-10T23:59:59.0000000"
"c3eee51a2d374e2c910081654f46b442";"69495a0beee54719a83f022004c9548d";"Milestone";"False";"";"False";"False";"3000";"2021-03-10T23:59:59.0000000"
"257cabdc4df0496089ea25a8875f9e98";"d30b145420b54405975a0fec31db9ac4";"Top";"False";"";"False";"False";"0";"2021-03-10T23:59:59.0000000"
